domain,dataset_name,model_seed,layer,target,target_dim,aggregate,member_index,ridge_r2,ridge_mae,ridge_rmse,mlp_r2,mlp_mae,mlp_rmse,delta_mlp_minus_ridge
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h1,wm_obs_error_norm,1,member,0,0.17334842681884766,0.4898826479911804,0.6814701337112371,0.12819331884384155,0.5067352652549744,0.6998350315185436,-0.045155107975006104
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h1,wm_reward_abs_error,1,member,0,0.0987733006477356,0.0005492337513715029,0.0012309655832425917,-24.7556209564209,0.004873532801866531,0.006580590782837208,-24.854394257068634
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h1,unc_epi_mean,1,member,0,0.7688566446304321,0.008470372296869755,0.013588297034730485,0.8212401866912842,0.007097904104739428,0.011949762492974131,0.05238354206085205
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h1,unc_ale_max,1,member,0,0.6780962347984314,0.1245577335357666,0.19677476904914531,0.7834919095039368,0.10009931027889252,0.1613776802819933,0.10539567470550537
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h1,unc_total_var,1,member,0,0.6946178674697876,0.014097473584115505,0.02290880545815359,0.8492641448974609,0.008228949271142483,0.016094921590811856,0.15464627742767334
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h2,wm_obs_error_norm,1,member,0,0.18294686079025269,0.4881875514984131,0.6775022213536969,0.15796220302581787,0.5011572241783142,0.6877829012986375,-0.024984657764434814
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h2,wm_reward_abs_error,1,member,0,0.11394667625427246,0.000531878147739917,0.0012205590874659418,-26.95025634765625,0.0052492739632725716,0.006855226183248212,-27.064203023910522
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h2,unc_epi_mean,1,member,0,0.8684163689613342,0.006342924199998379,0.0102523943802604,0.8224220275878906,0.006998540833592415,0.011910195363054958,-0.045994341373443604
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h2,unc_ale_max,1,member,0,0.8270605802536011,0.09146564453840256,0.14422925767198191,0.7871974110603333,0.10268338024616241,0.15999073105093317,-0.03986316919326782
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h2,unc_total_var,1,member,0,0.8312554955482483,0.010306992568075657,0.017029246970656046,0.8828822374343872,0.007203501183539629,0.014187045812853046,0.051626741886138916
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h3,wm_obs_error_norm,1,member,0,0.21008288860321045,0.47903090715408325,0.6661565860798087,0.15505272150039673,0.5058783888816833,0.688970099414918,-0.05503016710281372
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h3,wm_reward_abs_error,1,member,0,0.11693394184112549,0.0005273184506222606,0.001218499862614678,-32.076236724853516,0.0057891192846000195,0.007457390945661389,-32.19317066669464
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h3,unc_epi_mean,1,member,0,0.9195888042449951,0.004834355786442757,0.008014614045045049,0.8564761877059937,0.007021818310022354,0.010707457711370412,-0.06311261653900146
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h3,unc_ale_max,1,member,0,0.9194208979606628,0.0592547245323658,0.09845041651981544,0.8216539621353149,0.10352501273155212,0.14646643846688784,-0.0977669358253479
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h3,unc_total_var,1,member,0,0.9245672821998596,0.006336736027151346,0.011385719202690636,0.9431861042976379,0.005626425612717867,0.00988116055761643,0.01861882209777832
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h4,wm_obs_error_norm,1,member,0,0.24589556455612183,0.4723634123802185,0.6508806003969184,0.11463010311126709,0.515571653842926,0.7052578895057238,-0.13126546144485474
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h4,wm_reward_abs_error,1,member,0,0.1278666853904724,0.0005186459165997803,0.0012109335728166333,-17.123001098632812,0.004081747494637966,0.005520061859875844,-17.250867784023285
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h4,unc_epi_mean,1,member,0,0.9275562167167664,0.004648623056709766,0.0076072017233215165,0.8971915245056152,0.005963151343166828,0.009062306939269911,-0.030364692211151123
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h4,unc_ale_max,1,member,0,0.9441795945167542,0.048703134059906006,0.08194128848329861,0.7985479831695557,0.10141674429178238,0.15566543664648805,-0.1456316113471985
go2,Go2JoystickFlatTerrain-direction-expert-v1,0,h4,unc_total_var,1,member,0,0.9640892148017883,0.004145435988903046,0.007855846899825375,0.9504010677337646,0.005140659864991903,0.009232447322176287,-0.013688147068023682
